[2023-01-31 05:52:02.257 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using OperationMode = 'Delete'
[2023-01-31 05:52:02.257 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using Directory = '/Sites/Impex'
[2023-01-31 05:52:02.257 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using TravelMode = 'Direct Files And Sub Directories'
[2023-01-31 05:52:02.257 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using ExcludedSubDirectories = 'null'
[2023-01-31 05:52:02.257 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using ArchiveDirectory = '/Sites/Impex/_trash'
[2023-01-31 05:52:02.257 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using TouchOnArchive = 'true'
[2023-01-31 05:52:02.257 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using CompressOnArchive = 'false'
[2023-01-31 05:52:02.257 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Using ExcludeFileNamePrefixesFromCompression = 'null'
[2023-01-31 05:52:02.258 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles OperationMode=Delete: Clean up files and subdirectories in directory '/Sites/Impex' to limit the number of direct children to 100000.
[2023-01-31 05:52:02.262 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles OperationMode=Delete: Cleaned up 0 files in directory '/Sites/Impex' and subdirectories.
[2023-01-31 05:52:02.326 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|CleanupExcessiveImpexFiles Execution of step [CleanupExcessiveImpexFiles] finished with status [OK].
[2023-01-31 05:52:02.465 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Executing step [DeleteImpexFilesFromTrash][2175663937] for [Organization]...
[2023-01-31 05:52:02.473 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Using OperationMode = 'Delete'
[2023-01-31 05:52:02.473 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Using Directory = '/Sites/Impex/_trash'
[2023-01-31 05:52:02.473 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Using TravelMode = 'Direct Files And Sub Directories'
[2023-01-31 05:52:02.473 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Using ExcludedSubDirectories = 'null'
[2023-01-31 05:52:02.473 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Using ArchiveDirectory = 'null'
[2023-01-31 05:52:02.473 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Using TouchOnArchive = 'false'
[2023-01-31 05:52:02.473 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Using CompressOnArchive = 'false'
[2023-01-31 05:52:02.473 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Using ExcludeFileNamePrefixesFromCompression = 'null'
[2023-01-31 05:52:02.508 GMT] INFO SystemJobThread|1835485094|sfcc-cleanup-log-and-impex-files|DeleteImpexFilesFromTrash Execution of step [DeleteImpexFilesFromTrash] finished with status [OK]: Directory Not Exists
