"Type";"Name";"Count";"TotalTime";"OwnTime";"TotalWaitTime";"OwnWaitTime"
"ISML";"app_storefront_base/default//common/consent";"8";"3362742";"2771177";"2664";"44"
"ISML";"app_storefront_base/default//common/htmlHead";"10";"595328089";"6956044";"570681287";"19418"
"ISML";"app_storefront_base/default//common/scripts";"20";"2333374";"1831967";"0";"0"
"ISML";"app_storefront_base/default//components/content/contentAsset";"65";"3840342";"3517411";"3974";"4400"
"ISML";"app_storefront_base/default//components/content/offlineContent";"14";"453570";"453570";"3377";"3377"
"ISML";"app_storefront_base/default//components/footer/pageFooter";"10";"8034915";"4497044";"3159";"0"
"ISML";"app_storefront_base/default//components/header/countrySelector";"9";"1324542";"1324542";"2987";"2987"
"ISML";"app_storefront_base/default//components/header/menu";"9";"6355765";"4760442";"1828";"0"
"ISML";"app_storefront_base/default//components/header/miniCart";"9";"4326139";"2643792";"2104";"6401"
"ISML";"app_storefront_base/default//components/header/mobileCountrySelector";"9";"1225580";"1225580";"2790";"2790"
"ISML";"app_storefront_base/default//components/header/pageHeader";"10";"517406423";"7721545";"494467041";"4924"
"ISML";"app_storefront_base/default//components/header/skipNav";"10";"1842254";"702584";"3729";"4019"
"ISML";"app_storefront_base/default//components/modules";"15";"294942";"294942";"4108";"4108"
"ISML";"app_storefront_base/default//components/schema";"10";"1108390";"1108390";"7127";"7127"
"ISML";"app_storefront_base/default//product/components/pricing/default";"37";"6000879";"4890279";"13820";"5510"
"ISML";"app_storefront_base/default//product/components/pricing/formatted";"39";"995439";"995439";"7511";"7511"
"ISML";"app_storefront_base/default//product/components/pricing/tiered";"2";"4869198";"1489168";"945";"0"
"ISML";"app_storefront_base/default/account/header";"9";"2951713";"2167306";"3400";"2280"
"ISML";"app_storefront_base/default/account/mobileHeader";"9";"2371931";"1877664";"2424";"0"
"ISML";"app_storefront_base/default/common/layout/page";"10";"1144763889";"19274152";"1065360387";"200902"
"ISML";"app_storefront_base/default/components/breadcrumbs/pageBreadcrumbs";"8";"1578090";"1506031";"2287";"0"
"ISML";"app_storefront_base/default/components/content/contentAssetInc";"46";"18927679";"18927679";"1319186";"1319186"
"ISML";"app_storefront_base/default/components/header/menuItem";"9";"660121";"660121";"1859";"1859"
"ISML";"app_storefront_base/default/components/header/search";"20";"5531192";"3144760";"6312";"2393"
"ISML";"app_storefront_base/default/error";"1";"9516723";"723533";"414";"141"
"ISML";"app_storefront_base/default/home/homePage";"5";"1097628969";"4783985";"1047275290";"93008"
