"Type";"Name";"Count";"TotalTime";"OwnTime";"TotalWaitTime";"OwnWaitTime"
"ISML";"app_storefront_base/default//common/consent";"2";"2424606";"2099021";"34589";"30443"
"ISML";"app_storefront_base/default//common/htmlHead";"8";"52615269";"9382517";"25445066";"1233444"
"ISML";"app_storefront_base/default//common/scripts";"16";"3460005";"2768522";"20452";"19789"
"ISML";"app_storefront_base/default//components/content/contentAsset";"49";"4714997";"4323242";"342095";"340913"
"ISML";"app_storefront_base/default//components/content/offlineContent";"20";"693752";"693752";"7511";"7511"
"ISML";"app_storefront_base/default//components/footer/pageFooter";"8";"11967818";"6565674";"361162";"19347"
"ISML";"app_storefront_base/default//components/header/countrySelector";"5";"972219";"972219";"1935";"1935"
"ISML";"app_storefront_base/default//components/header/menu";"5";"6548934";"4295209";"375816";"367669"
"ISML";"app_storefront_base/default//components/header/miniCart";"5";"4842379";"2616225";"319784";"322966"
"ISML";"app_storefront_base/default//components/header/mobileCountrySelector";"5";"780486";"780486";"1714";"1714"
"ISML";"app_storefront_base/default//components/header/pageHeader";"8";"44701377";"11184195";"11280438";"1881396"
"ISML";"app_storefront_base/default//components/header/skipNav";"8";"4459166";"964794";"355633";"8630"
"ISML";"app_storefront_base/default//components/modules";"9";"206764";"206764";"2173";"2173"
"ISML";"app_storefront_base/default//components/schema";"8";"1361296";"1361296";"4752";"4752"
"ISML";"app_storefront_base/default//product/components/pricing/default";"21";"11697311";"5318390";"668788";"51005"
"ISML";"app_storefront_base/default//product/components/pricing/formatted";"24";"1015911";"1015911";"5918";"5918"
"ISML";"app_storefront_base/default//search/searchRefineBar";"1";"93111217";"91195751";"1209650";"1209628"
"ISML";"app_storefront_base/default/account/header";"5";"5749469";"2289166";"890966";"351020"
"ISML";"app_storefront_base/default/account/mobileHeader";"5";"1863055";"1230373";"1759";"218"
"ISML";"app_storefront_base/default/common/layout/page";"8";"134112692";"18401500";"38354822";"1242760"
"ISML";"app_storefront_base/default/components/breadcrumbs/pageBreadcrumbs";"4";"3501286";"3456366";"1553570";"1549193"
"ISML";"app_storefront_base/default/components/content/contentAssetInc";"12";"6138653";"6138653";"255764";"255764"
"ISML";"app_storefront_base/default/components/header/menuItem";"5";"565991";"565991";"0";"0"
"ISML";"app_storefront_base/default/components/header/search";"16";"11218639";"4753131";"647058";"629806"
"ISML";"app_storefront_base/default/error";"3";"131260374";"98916059";"17041047";"15803175"
"ISML";"app_storefront_base/default/home/homePage";"2";"74593535";"11722762";"30578134";"6507720"
