"Type";"Name";"Count";"TotalTime";"OwnTime";"TotalWaitTime";"OwnWaitTime"
"ISML";"app_storefront_base/default//common/consent";"4";"72012303";"71028453";"1269019";"899267"
"ISML";"app_storefront_base/default//common/htmlHead";"4";"578432973";"143859908";"141079098";"14566147"
"ISML";"app_storefront_base/default//common/scripts";"8";"98032936";"97308241";"1097424";"1095431"
"ISML";"app_storefront_base/default//components/content/contentAsset";"27";"106959935";"106025108";"6159956";"6036923"
"ISML";"app_storefront_base/default//components/content/offlineContent";"4";"85013372";"85013372";"12947664";"12947664"
"ISML";"app_storefront_base/default//components/footer/pageFooter";"4";"242143426";"135909953";"26242394";"20080478"
"ISML";"app_storefront_base/default//components/header/countrySelector";"4";"103459499";"103459499";"743850";"743850"
"ISML";"app_storefront_base/default//components/header/menu";"4";"200842743";"104647665";"14226388";"1521191"
"ISML";"app_storefront_base/default//components/header/miniCart";"4";"96387453";"93709742";"1611895";"1612212"
"ISML";"app_storefront_base/default//components/header/mobileCountrySelector";"4";"78798863";"78798863";"1931830";"1931830"
"ISML";"app_storefront_base/default//components/header/pageHeader";"4";"384660616";"148151560";"66122294";"40336369"
"ISML";"app_storefront_base/default//components/header/skipNav";"4";"97667809";"97031138";"2408005";"2405218"
"ISML";"app_storefront_base/default//components/modules";"7";"96094699";"96094699";"17069852";"17069852"
"ISML";"app_storefront_base/default//components/schema";"4";"132992788";"132992788";"22696478";"22696478"
"ISML";"app_storefront_base/default//product/components/pricing/default";"17";"154737960";"80973756";"8302172";"5108623"
"ISML";"app_storefront_base/default//product/components/pricing/formatted";"17";"73764204";"73764204";"3193549";"3193549"
"ISML";"app_storefront_base/default/account/header";"4";"111595606";"105886934";"21568614";"18866658"
"ISML";"app_storefront_base/default/account/mobileHeader";"4";"76719007";"76384170";"1516833";"1513536"
"ISML";"app_storefront_base/default/common/layout/page";"4";"1730079529";"196740192";"325036992";"50721514"
"ISML";"app_storefront_base/default/components/breadcrumbs/pageBreadcrumbs";"2";"93280101";"93217570";"14014133";"14008020"
"ISML";"app_storefront_base/default/components/content/contentAssetInc";"24";"137737821";"137737821";"27224588";"27224588"
"ISML";"app_storefront_base/default/components/header/menuItem";"4";"95554488";"95554488";"12698738";"12698738"
"ISML";"app_storefront_base/default/components/header/search";"8";"105474308";"104428404";"6245391";"6236968"
"ISML";"app_storefront_base/default/home/homePage";"3";"2299071291";"582875369";"354722759";"38571620"
"ISML";"app_storefront_base/default/product/components/addToCartButtonExtension";"1";"64531419";"64531419";"483";"483"
"ISML";"app_storefront_base/default/product/components/addToCartProduct";"1";"138074640";"73467840";"1008887";"1007454"
"ISML";"app_storefront_base/default/product/components/attributes";"1";"87131223";"87131223";"12212467";"12212467"
"ISML";"app_storefront_base/default/product/components/availability";"1";"69168378";"69088536";"92750";"91927"
"ISML";"app_storefront_base/default/product/components/description";"1";"82341161";"82341161";"78314";"78314"
"ISML";"app_storefront_base/default/product/components/descriptionAndDetails";"1";"321277708";"75411817";"15004070";"2604715"
"ISML";"app_storefront_base/default/product/components/details";"1";"76162333";"76162333";"107423";"107423"
"ISML";"app_storefront_base/default/product/components/imageCarousel";"1";"78334083";"78101967";"1004779";"999535"
"ISML";"app_storefront_base/default/product/components/mainAttributes";"1";"77258003";"77258003";"643970";"643970"
"ISML";"app_storefront_base/default/product/components/pidRating";"1";"133042665";"69060536";"969467";"968820"
"ISML";"app_storefront_base/default/product/components/pricing/ajaxMain";"1";"72495082";"71339980";"1257616";"734885"
"ISML";"app_storefront_base/default/product/components/pricing/main";"17";"232529071";"77791111";"11950178";"3648006"
"ISML";"app_storefront_base/default/product/components/productAvailability";"1";"135454000";"66285622";"785153";"692403"
"ISML";"app_storefront_base/default/product/components/productNumber";"1";"63539970";"63462849";"769";"0"
"ISML";"app_storefront_base/default/product/components/productRating";"16";"74087742";"74087742";"172380";"172380"
