"Type";"Name";"Count";"TotalTime";"OwnTime";"TotalWaitTime";"OwnWaitTime"
"ISML";"app_storefront_base/default//common/consent";"18";"11438605";"9453095";"2011259";"2001360"
"ISML";"app_storefront_base/default//common/htmlHead";"22";"132910584";"17125995";"70670028";"1890961"
"ISML";"app_storefront_base/default//common/scripts";"44";"5806543";"4233046";"197561";"0"
"ISML";"app_storefront_base/default//components/content/contentAsset";"141";"9839945";"9287350";"1300734";"1300164"
"ISML";"app_storefront_base/default//components/content/offlineContent";"18";"743195";"743195";"3263";"3263"
"ISML";"app_storefront_base/default//components/footer/pageFooter";"22";"16311847";"7332264";"1914553";"650684"
"ISML";"app_storefront_base/default//components/header/countrySelector";"18";"5591518";"5557838";"1028902";"1028052"
"ISML";"app_storefront_base/default//components/header/menu";"18";"12663149";"9186434";"2524";"0"
"ISML";"app_storefront_base/default//components/header/miniCart";"18";"11162302";"7023316";"995092";"999751"
"ISML";"app_storefront_base/default//components/header/mobileCountrySelector";"18";"3774715";"3738734";"3714";"2992"
"ISML";"app_storefront_base/default//components/header/pageHeader";"18";"57442683";"15043364";"23907721";"2632481"
"ISML";"app_storefront_base/default//components/header/pdStorePageHeader";"4";"106296934";"94679359";"8524666";"3970220"
"ISML";"app_storefront_base/default//components/header/skipNav";"22";"3254691";"1421381";"7374";"7144"
"ISML";"app_storefront_base/default//components/modules";"31";"649792";"649792";"6671";"6671"
"ISML";"app_storefront_base/default//components/schema";"22";"2047507";"2047507";"14570";"14570"
"ISML";"app_storefront_base/default//experience/components/commerce_assets/product/pricing/default";"20";"96935628";"93913851";"16195443";"16196265"
"ISML";"app_storefront_base/default//experience/components/commerce_assets/shopTheLook/imageFile";"32";"64649284";"64649284";"1619212";"1619212"
"ISML";"app_storefront_base/default//experience/components/commerce_assets/shopTheLook/titleAndPrice";"32";"93950032";"92352389";"11194673";"11201383"
"ISML";"app_storefront_base/default//product/components/pricing/default";"74";"11595461";"8298330";"20803";"8111"
"ISML";"app_storefront_base/default//product/components/pricing/formatted";"81";"2154579";"2154579";"12134";"12134"
