"Type";"Name";"Count";"TotalTime";"OwnTime";"TotalWaitTime";"OwnWaitTime"
"ISML";"app_storefront_base/default//account/login";"1";"26567880";"4063104";"3416181";"1477844"
"ISML";"app_storefront_base/default//common/htmlHead";"8";"32346467";"5352601";"16614528";"22882"
"ISML";"app_storefront_base/default//common/scripts";"16";"2219149";"1686329";"6792";"6543"
"ISML";"app_storefront_base/default//components/content/contentAsset";"48";"3345356";"3094028";"15326";"13144"
"ISML";"app_storefront_base/default//components/content/offlineContent";"24";"830335";"830335";"0";"0"
"ISML";"app_storefront_base/default//components/footer/pageFooter";"8";"13403827";"8440280";"2656";"0"
"ISML";"app_storefront_base/default//components/header/countrySelector";"4";"539301";"539301";"1250";"1250"
"ISML";"app_storefront_base/default//components/header/menu";"4";"4728508";"2517967";"1763";"2580"
"ISML";"app_storefront_base/default//components/header/miniCart";"4";"2839002";"1288880";"1614";"5128"
"ISML";"app_storefront_base/default//components/header/mobileCountrySelector";"4";"562489";"562489";"1097";"1097"
"ISML";"app_storefront_base/default//components/header/pageHeader";"8";"35295503";"7586662";"5111893";"0"
"ISML";"app_storefront_base/default//components/header/skipNav";"8";"4548372";"762063";"3390";"11662"
"ISML";"app_storefront_base/default//components/modules";"8";"157833";"157833";"2141";"2141"
"ISML";"app_storefront_base/default//components/schema";"8";"531490";"531490";"5658";"5658"
"ISML";"app_storefront_base/default//product/components/pricing/default";"2";"521299";"461258";"1607";"577"
"ISML";"app_storefront_base/default//product/components/pricing/formatted";"2";"60041";"60041";"1030";"1030"
"ISML";"app_storefront_base/default/account/components/loginForm";"1";"3041157";"2093019";"1077993";"1078788"
"ISML";"app_storefront_base/default/account/components/navTabs";"1";"403877";"169253";"356";"653"
"ISML";"app_storefront_base/default/account/components/oauth";"1";"947818";"686404";"314456";"314583"
"ISML";"app_storefront_base/default/account/components/registerForm";"1";"5368839";"1598025";"13302";"17381"
"ISML";"app_storefront_base/default/account/components/trackOrderForm";"1";"1822344";"1089860";"392070";"391709"
"ISML";"app_storefront_base/default/account/components/trackOrderFormBillingZipCode";"1";"180874";"70212";"353";"282"
"ISML";"app_storefront_base/default/account/header";"4";"2095829";"999859";"1352";"1793"
"ISML";"app_storefront_base/default/account/mobileHeader";"4";"1373015";"816206";"2100";"7743"
"ISML";"app_storefront_base/default/account/password/passwordResetForm";"1";"799305";"233656";"333";"1246"
"ISML";"app_storefront_base/default/account/password/requestPasswordResetModal";"1";"1396076";"477709";"139463";"138998"
"ISML";"app_storefront_base/default/common/layout/page";"8";"102599658";"17633669";"21910322";"164649"
"ISML";"app_storefront_base/default/components/breadcrumbs/pageBreadcrumbs";"3";"517988";"499558";"675";"0"
"ISML";"app_storefront_base/default/components/header/menuItem";"4";"317976";"317976";"754";"754"
"ISML";"app_storefront_base/default/components/header/search";"16";"10312262";"2760599";"8891";"21287"
"ISML";"app_storefront_base/default/error";"4";"40358247";"2202031";"12764";"635"
"ISML";"app_storefront_base/default/home/homePage";"2";"43714820";"1819725";"15783616";"368"
"ISML";"app_storefront_base/default/product/components/addToCartButtonExtension";"1";"18301";"18301";"541";"541"
"ISML";"app_storefront_base/default/product/components/addToCartProduct";"1";"449869";"311856";"367";"0"
"ISML";"app_storefront_base/default/product/components/attributes";"1";"29171";"29171";"301";"301"
"ISML";"app_storefront_base/default/product/components/availability";"1";"307705";"72321";"634";"41"
"ISML";"app_storefront_base/default/product/components/description";"1";"39071";"39071";"231";"231"
"ISML";"app_storefront_base/default/product/components/descriptionAndDetails";"1";"1337464";"789613";"610";"781"
"ISML";"app_storefront_base/default/product/components/details";"1";"49581";"49581";"0";"0"
"ISML";"app_storefront_base/default/product/components/imageCarousel";"1";"670672";"225194";"460";"754"
"ISML";"app_storefront_base/default/product/components/mainAttributes";"1";"31161";"31161";"382";"382"
"ISML";"app_storefront_base/default/product/components/pidRating";"1";"976138";"526820";"475";"259"
"ISML";"app_storefront_base/default/product/components/pricing/ajaxMain";"1";"1026719";"470489";"526";"138"
"ISML";"app_storefront_base/default/product/components/pricing/main";"2";"970377";"449078";"743";"0"
"ISML";"app_storefront_base/default/product/components/productAvailability";"1";"580561";"272856";"588";"0"
"ISML";"app_storefront_base/default/product/components/productNumber";"1";"158722";"45450";"482";"690"
"ISML";"app_storefront_base/default/product/components/productRating";"1";"77242";"77242";"481";"481"
"ISML";"app_storefront_base/default/product/components/promotions";"1";"59131";"59131";"261";"261"
"ISML";"app_storefront_base/default/product/components/quantity";"1";"322406";"211513";"15";"103"
"ISML";"app_storefront_base/default/product/components/socialIcons";"1";"1461427";"369127";"372";"2954"
"ISML";"app_storefront_base/default/product/components/variationAttribute";"2";"1021349";"405318";"976";"2146"
"ISML";"app_storefront_base/default/product/productDetails";"1";"29998633";"4699277";"6119202";"0"
"ONREQUEST";"/Sites-Mailchimp-Site/default/Home-Show";"2";"16607679";"16607679";"9532704";"9532704"
"ONREQUEST";"/Sites-Mailchimp-Site/default/Login-Show";"1";"886296";"886296";"0";"0"
"ONREQUEST";"/Sites-Mailchimp-Site/default/Product-Show";"1";"21707819";"21707819";"13899386";"13899386"
"ONREQUEST";"/Sites-Mailchimp-Site/default/__Analytics-Start";"4";"7273194";"7273194";"432";"432"
"ONREQUEST";"/Sites-Mailchimp-Site/default/__SYSTEM__StorefrontToolkit-Start";"4";"4573583";"4573583";"1799";"1799"
