"Type";"Name";"Count";"TotalTime";"OwnTime";"TotalWaitTime";"OwnWaitTime"
"PIPELINE_NODE";"bc_api:Assign";"4";"429098";"429098";"0";"0"
"SCRIPT_API";"dw.object.PersistentObject#getUUID()";"1";"6260";"6260";"930";"930"
"SCRIPT_API";"dw.system.Request#getHttpHost()";"9";"22351";"22351";"242";"242"
"SCRIPT_API";"dw.system.Site#getCalendar()";"3";"197074";"197074";"0";"0"
"SCRIPT_API";"dw.util.Calendar#getTime()";"3";"7790";"7790";"50";"50"
"SCRIPT_API";"dw.util.Collection#size()";"4";"171653";"171653";"1333";"1333"
"SCRIPT_API";"dw.util.List#size()";"9";"44191";"44191";"861";"861"
"SCRIPT_API";"dw.web.CSRFProtection#generateToken()";"9";"276487";"276487";"0";"0"
"SCRIPT_API";"dw.web.CSRFProtection#getTokenName()";"9";"68212";"68212";"2091";"2091"
"SCRIPT_API";"dw.web.URL#appendCSRFTokenBM()";"1";"51831";"51831";"0";"0"
"SCRIPT_API";"dw.web.URLUtils#url(String,String[])";"1";"18470";"18470";"0";"0"
