"Type";"Name";"Count";"TotalTime";"OwnTime";"TotalWaitTime";"OwnWaitTime"
"ISML";"app_storefront_base/default//account/login";"1";"714371144";"89734900";"48333723";"6015936"
"ISML";"app_storefront_base/default//common/consent";"15";"6238664";"5226555";"3923";"0"
"ISML";"app_storefront_base/default//common/htmlHead";"33";"209532140";"23455152";"127588285";"227338"
"ISML";"app_storefront_base/default//common/scripts";"66";"8846167";"6669764";"0";"0"
"ISML";"app_storefront_base/default//components/content/contentAsset";"205";"13756085";"12713921";"29029";"27175"
"ISML";"app_storefront_base/default//components/content/offlineContent";"69";"2428029";"2428029";"27922";"27922"
"ISML";"app_storefront_base/default//components/footer/pageFooter";"33";"35614642";"20345125";"13234";"0"
"ISML";"app_storefront_base/default//components/header/countrySelector";"24";"3230340";"3230340";"6060";"6060"
"ISML";"app_storefront_base/default//components/header/menu";"24";"19094724";"12377807";"4451";"0"
"ISML";"app_storefront_base/default//components/header/miniCart";"24";"14442408";"7554886";"5815";"16090"
"ISML";"app_storefront_base/default//components/header/mobileCountrySelector";"24";"3264558";"3264558";"6658";"6658"
"ISML";"app_storefront_base/default//components/header/pageHeader";"33";"131775652";"24973494";"38670213";"0"
"ISML";"app_storefront_base/default//components/header/skipNav";"33";"10664322";"2538605";"9850";"21591"
"ISML";"app_storefront_base/default//components/modules";"40";"753765";"753765";"8939";"8939"
"ISML";"app_storefront_base/default//components/schema";"33";"3899482";"3899482";"153902";"153902"
"ISML";"app_storefront_base/default//product/components/pricing/default";"89";"17790903";"13404293";"30896";"12553"
"ISML";"app_storefront_base/default//product/components/pricing/formatted";"100";"2641829";"2641829";"19689";"19689"
"ISML";"app_storefront_base/default//product/components/pricing/tiered";"2";"88254073";"85656704";"82337";"79016"
"ISML";"app_storefront_base/default//search/searchRefineBar";"3";"4961013";"1647713";"383468";"384421"
"ISML";"app_storefront_base/default/account/components/loginForm";"1";"67689372";"67555201";"2256724";"2254569"
"ISML";"app_storefront_base/default/account/components/navTabs";"1";"64942301";"64874220";"327676";"327265"
