"Type";"Name";"Count";"TotalTime";"OwnTime";"TotalWaitTime";"OwnWaitTime"
"ISML";"app_storefront_base/default//account/login";"2";"43845215";"3708703";"18147245";"6381"
"ISML";"app_storefront_base/default//common/consent";"28";"11213568";"9537000";"6660";"0"
"ISML";"app_storefront_base/default//common/htmlHead";"28";"148517283";"18385868";"90900576";"35983"
"ISML";"app_storefront_base/default//common/scripts";"56";"5788195";"4418780";"0";"0"
"ISML";"app_storefront_base/default//components/content/contentAsset";"174";"9111273";"8491830";"147756";"147098"
"ISML";"app_storefront_base/default//components/content/offlineContent";"27";"872815";"872815";"2126";"2126"
"ISML";"app_storefront_base/default//components/footer/pageFooter";"28";"14488977";"6700926";"156051";"4032"
"ISML";"app_storefront_base/default//components/header/countrySelector";"27";"3658789";"3658789";"5450";"5450"
"ISML";"app_storefront_base/default//components/header/menu";"27";"14452184";"11378382";"467";"0"
"ISML";"app_storefront_base/default//components/header/miniCart";"27";"12086811";"7766393";"5922";"6647"
"ISML";"app_storefront_base/default//components/header/mobileCountrySelector";"27";"3504154";"3504154";"3047";"3047"
"ISML";"app_storefront_base/default//components/header/pageHeader";"27";"58661183";"14178872";"20286013";"351722"
"ISML";"app_storefront_base/default//components/header/pageHeaderNomenu";"1";"66863870";"64350852";"1425835";"0"
"ISML";"app_storefront_base/default//components/header/skipNav";"28";"2803024";"1859287";"8665";"5037"
"ISML";"app_storefront_base/default//components/modules";"35";"657861";"657861";"6349";"6349"
"ISML";"app_storefront_base/default//components/schema";"27";"3347969";"3347969";"17938";"17938"
"ISML";"app_storefront_base/default//product/components/pricing/default";"193";"22691803";"16265234";"294601";"259781"
"ISML";"app_storefront_base/default//product/components/pricing/formatted";"205";"3974741";"3974741";"24647";"24647"
"ISML";"app_storefront_base/default//product/components/pricing/main";"6";"778262";"306063";"3042";"1566"
"ISML";"app_storefront_base/default//reporting/reporting";"7";"216050";"216050";"580";"580"
"ISML";"app_storefront_base/default//reporting/reportingUrls";"1";"996348";"996348";"476947";"476947"
"ISML";"app_storefront_base/default//search/searchRefineBar";"10";"9576935";"3102794";"644700";"632215"
"ISML";"app_storefront_base/default/account/components/loginForm";"2";"915017";"727293";"724";"0"
"ISML";"app_storefront_base/default/account/components/navTabs";"2";"344905";"291125";"7824";"7675"
"ISML";"app_storefront_base/default/account/components/oauth";"2";"440549";"373708";"817";"0"
"ISML";"app_storefront_base/default/account/components/registerForm";"2";"4314509";"2081661";"5106";"0"
"ISML";"app_storefront_base/default/account/components/trackOrderForm";"2";"1017609";"750784";"1006";"0"
"ISML";"app_storefront_base/default/account/components/trackOrderFormBillingZipCode";"2";"156393";"125202";"1364";"213"
"ISML";"app_storefront_base/default/account/header";"27";"9874731";"6151518";"420801";"0"
