"Type";"Name";"Count";"TotalTime";"OwnTime";"TotalWaitTime";"OwnWaitTime"
"ISML";"app_storefront_base/default//common/consent";"2";"972468";"843586";"855";"0"
"ISML";"app_storefront_base/default//common/htmlHead";"2";"14145532";"1620516";"8632065";"2803"
"ISML";"app_storefront_base/default//common/scripts";"4";"466048";"376645";"0";"0"
"ISML";"app_storefront_base/default//components/content/contentAsset";"13";"691413";"647094";"0";"108"
"ISML";"app_storefront_base/default//components/content/offlineContent";"2";"79293";"79293";"923";"923"
"ISML";"app_storefront_base/default//components/footer/pageFooter";"2";"1303645";"741063";"302";"0"
"ISML";"app_storefront_base/default//components/header/countrySelector";"2";"283005";"283005";"825";"825"
"ISML";"app_storefront_base/default//components/header/menu";"2";"1677933";"1406088";"387";"0"
"ISML";"app_storefront_base/default//components/header/miniCart";"2";"992609";"606083";"596";"1322"
"ISML";"app_storefront_base/default//components/header/mobileCountrySelector";"2";"274605";"274605";"1074";"1074"
"ISML";"app_storefront_base/default//components/header/pageHeader";"2";"7310530";"1538267";"3358577";"0"
"ISML";"app_storefront_base/default//components/header/skipNav";"2";"214695";"143275";"894";"707"
"ISML";"app_storefront_base/default//components/modules";"3";"62841";"62841";"709";"709"
"ISML";"app_storefront_base/default//components/schema";"2";"252115";"252115";"1453";"1453"
"ISML";"app_storefront_base/default//product/components/pricing/default";"7";"1759025";"994471";"2179";"418"
"ISML";"app_storefront_base/default//product/components/pricing/formatted";"9";"219323";"219323";"2212";"2212"
"ISML";"app_storefront_base/default/account/header";"2";"699562";"564369";"679";"5"
"ISML";"app_storefront_base/default/account/mobileHeader";"2";"625251";"527958";"749";"197"
"ISML";"app_storefront_base/default/common/layout/page";"2";"28008028";"4248912";"11987977";"0"
"ISML";"app_storefront_base/default/components/breadcrumbs/pageBreadcrumbs";"2";"347386";"321444";"555";"0"
"ISML";"app_storefront_base/default/components/content/contentAssetInc";"13";"5586397";"5586397";"712343";"712343"
"ISML";"app_storefront_base/default/components/header/menuItem";"2";"152852";"152852";"502";"502"
"ISML";"app_storefront_base/default/components/header/search";"4";"756634";"551952";"1672";"230"
"ISML";"app_storefront_base/default/home/homePage";"1";"16716263";"931278";"6441574";"0"
"ISML";"app_storefront_base/default/product/components/addToCartButtonExtension";"1";"17060";"17060";"190";"190"
"ISML";"app_storefront_base/default/product/components/addToCartProduct";"1";"282525";"254594";"315";"0"
"ISML";"app_storefront_base/default/product/components/attributes";"1";"25590";"25590";"180";"180"
"ISML";"app_storefront_base/default/product/components/availability";"1";"73312";"61812";"292";"252"
"ISML";"app_storefront_base/default/product/components/description";"1";"34251";"34251";"110";"110"
"ISML";"app_storefront_base/default/product/components/descriptionAndDetails";"1";"692284";"569561";"602";"49"
"ISML";"app_storefront_base/default/product/components/details";"1";"30151";"30151";"162";"162"
"ISML";"app_storefront_base/default/product/components/imageCarousel";"1";"219454";"179523";"362";"0"
"ISML";"app_storefront_base/default/product/components/mainAttributes";"1";"27931";"27931";"121";"121"
"ISML";"app_storefront_base/default/product/components/pidRating";"1";"619882";"400978";"410";"227"
"ISML";"app_storefront_base/default/product/components/pricing/ajaxMain";"1";"1565310";"440299";"495";"0"
"ISML";"app_storefront_base/default/product/components/pricing/main";"7";"2468748";"709723";"3040";"861"
"ISML";"app_storefront_base/default/product/components/productAvailability";"1";"281865";"208553";"384";"92"
"ISML";"app_storefront_base/default/product/components/productNumber";"1";"53831";"41430";"331";"260"
"ISML";"app_storefront_base/default/product/components/productRating";"6";"1014079";"1014079";"0";"0"
"ISML";"app_storefront_base/default/product/components/productTileImage";"5";"841167";"586493";"2306";"2894"
"ISML";"app_storefront_base/default/product/components/productTileName";"5";"242703";"242703";"860";"860"
"ISML";"app_storefront_base/default/product/components/productTileSwatch";"5";"1156972";"1104021";"197677";"193264"
"ISML";"app_storefront_base/default/product/components/promotions";"1";"47091";"47091";"222";"222"
"ISML";"app_storefront_base/default/product/components/quantity";"1";"217814";"206394";"0";"0"
"ISML";"app_storefront_base/default/product/components/ratings";"5";"1449139";"499381";"2074";"4079"
"ISML";"app_storefront_base/default/product/components/socialIcons";"1";"507210";"371438";"238";"0"
"ISML";"app_storefront_base/default/product/components/variationAttribute";"3";"544470";"488039";"289";"0"
"ISML";"app_storefront_base/default/product/gridTile";"5";"9455152";"1708213";"199035";"0"
"ISML";"app_storefront_base/default/product/productDetails";"1";"20137684";"3219910";"5548246";"0"
"ISML";"app_storefront_base/default/product/productTile";"5";"7746939";"1830955";"199728";"0"
"ISML";"app_storefront_base/default/product/productTileFooter";"5";"2527009";"534019";"703";"1439"
"ISML";"app_storefront_base/default/slots/content/contentAssetBody";"5";"31390865";"31291934";"17839275";"17838812"
"ISML";"app_storefront_base/default/slots/content/htmlSlotContainer";"2";"1839745";"464569";"292649";"317"
"ISML";"app_storefront_base/default/slots/htmlSlotContainer";"2";"1375176";"1329015";"292332";"291800"
"ISML";"app_storefront_base/default/slots/product/homePageProductSlot";"1";"982459";"828396";"696";"0"
"ONREQUEST";"/Sites-RefArch-Site/-/null-null";"1";"210728347";"210728347";"200372077";"200372077"
"ONREQUEST";"/Sites-RefArch-Site/en_US/ConsentTracking-GetContent";"2";"1396088";"1396088";"1153";"1153"
"ONREQUEST";"/Sites-RefArch-Site/en_US/ConsentTracking-SetConsent";"2";"17220419";"17220419";"10960852";"10960852"
"ONREQUEST";"/Sites-RefArch-Site/en_US/Product-Show";"1";"11014990";"11014990";"4509722";"4509722"
"ONREQUEST";"/Sites-RefArch-Site/en_US/__Analytics-Start";"2";"4999317";"4999317";"0";"0"
"PIPELINE_NODE";"bc_api:Assign";"10";"783516";"783516";"0";"0"
"SCRIPT_API";"dw.campaign.Promotion#getID()";"4";"7219";"7219";"589";"589"
"SCRIPT_API";"dw.campaign.PromotionMgr#getActiveCustomerPromotions()";"2";"1128771";"1128771";"302238";"302238"
"SCRIPT_API";"dw.campaign.PromotionPlan#getProductPromotions()";"1";"260485";"260485";"0";"0"
"SCRIPT_API";"dw.campaign.PromotionPlan#getProductPromotions(dw.catalog.Product)";"1";"967609";"967609";"191396";"191396"
"SCRIPT_API";"dw.campaign.SlotContent#getContent()";"8";"69750";"69750";"0";"0"
"SCRIPT_API";"dw.catalog.Catalog#getRoot()";"2";"46811";"46811";"0";"0"
"SCRIPT_API";"dw.catalog.CatalogMgr#getCategory(String)";"2";"15680";"15680";"0";"0"
"SCRIPT_API";"dw.catalog.CatalogMgr#getSiteCatalog()";"2";"47031";"47031";"1220";"1220"
"SCRIPT_API";"dw.catalog.Category#getDisplayName()";"7";"214715";"214715";"0";"0"
"SCRIPT_API";"dw.catalog.Category#getID()";"16";"19342";"19342";"1792";"1792"
"SCRIPT_API";"dw.catalog.Category#getOnlineSubCategories()";"6";"16871484";"16871484";"14255876";"14255876"
"SCRIPT_API";"dw.catalog.Category#getParent()";"8";"7930";"7930";"170";"170"
"SCRIPT_API";"dw.catalog.Category#hasOnlineProducts()";"16";"35746596";"35746596";"33094880";"33094880"
"SCRIPT_API";"dw.catalog.Category#hasOnlineSubCategories()";"14";"227973";"227973";"0";"0"
"SCRIPT_API";"dw.catalog.PriceBook#getID()";"11";"12521";"12521";"282";"282"
"SCRIPT_API";"dw.catalog.PriceBook#getParentPriceBook()";"10";"21610";"21610";"370";"370"
"SCRIPT_API";"dw.catalog.PriceBookMgr#getApplicablePriceBooks()";"1";"17231";"17231";"0";"0"
"SCRIPT_API";"dw.catalog.PriceBookMgr#setApplicablePriceBooks(dw.catalog.PriceBook[])";"2";"29700";"29700";"0";"0"
"SCRIPT_API";"dw.catalog.Product#getAttributeModel()";"1";"521869";"521869";"0";"0"
"SCRIPT_API";"dw.catalog.Product#getAvailabilityModel()";"1";"30350";"30350";"0";"0"
"SCRIPT_API";"dw.catalog.Product#getBrand()";"1";"4260";"4260";"161";"161"
"SCRIPT_API";"dw.catalog.Product#getID()";"22";"39511";"39511";"3500";"3500"
