"Type";"Name";"Count";"TotalTime";"OwnTime";"TotalWaitTime";"OwnWaitTime"
"ISML";"app_storefront_base/default//common/consent";"1";"519810";"443559";"608";"0"
"ISML";"app_storefront_base/default//common/htmlHead";"1";"6850046";"775495";"4001307";"0"
"ISML";"app_storefront_base/default//common/scripts";"2";"276604";"229832";"0";"0"
"ISML";"app_storefront_base/default//components/content/contentAsset";"7";"407656";"381636";"555";"473"
"ISML";"app_storefront_base/default//components/content/offlineContent";"1";"28081";"28081";"101";"101"
"ISML";"app_storefront_base/default//components/footer/pageFooter";"1";"656252";"356348";"431";"0"
"ISML";"app_storefront_base/default//components/header/countrySelector";"1";"121582";"121582";"132";"132"
"ISML";"app_storefront_base/default//components/header/menu";"1";"719104";"600533";"202";"0"
"ISML";"app_storefront_base/default//components/header/miniCart";"1";"495319";"305095";"0";"0"
"ISML";"app_storefront_base/default//components/header/mobileCountrySelector";"1";"119942";"119942";"242";"242"
"ISML";"app_storefront_base/default//components/header/pageHeader";"1";"2883733";"729547";"1048558";"0"
"ISML";"app_storefront_base/default//components/header/skipNav";"1";"96181";"64120";"241";"360"
"ISML";"app_storefront_base/default//components/modules";"2";"37290";"37290";"630";"630"
"ISML";"app_storefront_base/default//components/schema";"1";"44421";"44421";"711";"711"
"ISML";"app_storefront_base/default//product/components/pricing/default";"5";"572552";"482629";"880";"235"
"ISML";"app_storefront_base/default//product/components/pricing/formatted";"5";"89923";"89923";"645";"645"
"ISML";"app_storefront_base/default/account/header";"1";"249765";"211245";"165";"0"
"ISML";"app_storefront_base/default/account/mobileHeader";"1";"209674";"181754";"254";"0"
"ISML";"app_storefront_base/default/common/layout/page";"1";"12634631";"1808784";"5048248";"0"
"ISML";"app_storefront_base/default/components/content/contentAssetInc";"7";"2220391";"2220391";"0";"0"
"ISML";"app_storefront_base/default/components/header/menuItem";"1";"65141";"65141";"122";"122"
"ISML";"app_storefront_base/default/components/header/search";"2";"380576";"302194";"1216";"0"
"ISML";"app_storefront_base/default/home/homePage";"1";"14014567";"788314";"5049220";"0"
"ISML";"app_storefront_base/default/product/components/pricing/main";"5";"965187";"392635";"984";"104"
"ISML";"app_storefront_base/default/product/components/productRating";"5";"277894";"277894";"0";"0"
"ISML";"app_storefront_base/default/product/components/productTileImage";"5";"762553";"536129";"870";"1381"
"ISML";"app_storefront_base/default/product/components/productTileName";"5";"224964";"224964";"344";"344"
"ISML";"app_storefront_base/default/product/components/productTileSwatch";"5";"729015";"688057";"513";"0"
"ISML";"app_storefront_base/default/product/components/ratings";"5";"740423";"462529";"1061";"1407"
"ISML";"app_storefront_base/default/product/gridTile";"5";"7231512";"1230581";"1231";"0"
"ISML";"app_storefront_base/default/product/productTile";"5";"6000931";"1683092";"1543";"0"
"ISML";"app_storefront_base/default/product/productTileFooter";"5";"1636120";"502011";"555";"431"
"ISML";"app_storefront_base/default/slots/content/contentAssetBody";"4";"22606875";"22554814";"13677359";"13677147"
"ISML";"app_storefront_base/default/slots/content/htmlSlotContainer";"1";"553180";"201853";"858";"402"
"ISML";"app_storefront_base/default/slots/htmlSlotContainer";"1";"351327";"333637";"456";"306"
